ONDEX-ID	ACCESSION	GENE NAME	CHRO	START	TAXID	SCORE	USER	QTL	EVIDENCE
612606	TRIAE_CS42_3B_TGACv1_227124_AA0821530	MFT	3B	5537	4565	6.08	yes		BioProc//upregulation of seed germinat...||Publication//PMID:24932489//PMID:23754415//PMID:23590427//PMID:21896881//PMID:20551347//PMID:20935478||TO//seed dormancy||Protein//Q9XFK7
575567	TRIAE_CS42_2BS_TGACv1_147037_AA0477000	CHS	2B	47657	4565	0.31	yes		BioProc//embryo development ending in ...//response to karrikin||Publication//PMID:12297632//PMID:10677434//PMID:19276109//PMID:20351290||TO//seed dormancy
602925	TRIAE_CS42_2AS_TGACv1_112825_AA0345780	CHS	2A	16806	4565	0.31	yes		BioProc//embryo development ending in ...//response to karrikin||Publication//PMID:12297632//PMID:10677434//PMID:19276109//PMID:20351290||TO//seed dormancy
587307	TRIAE_CS42_2DL_TGACv1_157957_AA0503430	CHS	2D	37116	4565	0.31	yes		BioProc//embryo development ending in ...//response to karrikin||Publication//PMID:12297632//PMID:10677434//PMID:19276109//PMID:20351290||TO//seed dormancy
7114	TRIAE_CS42_2BL_TGACV1_129730_AA0393980	CHS	2B	42614	4565	0.31	yes		BioProc//embryo development ending in ...//response to karrikin||Publication//PMID:12297632//PMID:10677434//PMID:19276109//PMID:20351290||TO//seed dormancy
61711	TRIAE_CS42_2AL_TGACv1_096242_AA0318150	CHS	2A	18316	4565	0.30	yes		BioProc//embryo development ending in ...//response to karrikin||Publication//PMID:12297632//PMID:10677434//PMID:19276109//PMID:20351290||TO//seed dormancy
123427	TRIAE_CS42_3DL_TGACv1_252608_AA0890990	BRN1	3D	10826	4565	0.22	yes		Publication//PMID:12432076||Trait//Seed Dormancy
578396	TRIAE_CS42_3AL_TGACV1_196609_AA0661910	DFRA	3A	25509	4565	0.14	yes		BioProc//response to karrikin||Publication//PMID:12297632//PMID:20351290||TO//seed dormancy
93969	TRIAE_CS42_3DL_TGACV1_249124_AA0838510	DFRA	3D	38638	4565	0.14	yes		BioProc//response to karrikin||Publication//PMID:12297632//PMID:20351290||TO//seed dormancy
92540	TRIAE_CS42_3B_TGACV1_223709_AA0785910	DFRA	3B	20784	4565	0.14	yes		BioProc//response to karrikin||Publication//PMID:12297632//PMID:20351290||TO//seed dormancy
